CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Ford Figo Trend        7        487500        64826        Petrol        Broker        Manual        First Owner
Mahindra NuvoSport N8        7        656250        114000        Diesel        Direct Owner        Manual        First Owner
Audi A4 3.0 TDI Quattro        10        1975000        90000        Diesel        Broker        Automatic        First Owner
Volkswagen Polo Diesel Highline 1.2L        11        418750        81000        Diesel        Broker        Manual        Third Owner
Hyundai Santro GS        18        100000        60580        Petrol        Broker        Manual        First Owner
Hyundai Creta 1.6 Gamma SX Plus        8        1026250        54000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing XG        18        118750        124000        Petrol        Direct Owner        Manual        Second Owner
Maruti SX4 Zxi with Leather BSIII        15        281250        64000        Petrol        Direct Owner        Manual        Second Owner
Maruti Eeco Smiles 5 Seater AC        10        350000        80600        Petrol        Broker        Manual        First Owner
Tata Indica GLS BS IV        17        93750        104000        Petrol        Direct Owner        Manual        Second Owner
Hyundai EON Magna Plus        9        400000        84000        Petrol        Direct Owner        Manual        First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde        11        1718750        37800        Diesel        Broker        Automatic        Second Owner
Maruti Ertiga VDI        11        687500        124000        Diesel        Direct Owner        Manual        Third Owner
Audi A6 2.0 TDI Premium Plus        10        1625000        62500        Diesel        Broker        Automatic        First Owner
Chevrolet Enjoy TCDi LS 8 Seater        9        412500        204000        Diesel        Direct Owner        Manual        Third Owner
Maruti Swift VDI BSIV        8        581250        64000        Diesel        Direct Owner        Manual        Third Owner
Ford Ecosport 1.5 Petrol Trend        3        1287500        5010        Petrol        Broker        Manual        Test Drive Car
Honda Jazz 1.5 VX i DTEC        5        987500        23571        Diesel        Broker        Manual        First Owner
Hyundai Grand i10 1.2 CRDi Asta        5        581250        29000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON Magna Plus        5        287498.75        34000        Petrol        Direct Owner        Manual        First Owner
Honda City 1.5 S MT        12        387500        114000        Petrol        Direct Owner        Manual        First Owner
Honda City i DTec SV        9        562500        44000        Diesel        Broker        Manual        First Owner
Maruti Swift Dzire VDI        6        812500        94000        Diesel        Direct Owner        Manual        First Owner
Datsun GO Plus T BSIV        8        475000        29000        Petrol        Direct Owner        Manual        First Owner
Ford Figo Aspire Facelift        5        780000        18681        Diesel        Broker        Manual        First Owner
Mahindra Xylo D2 Maxx        9        437500        174000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel)        11        387500        96686        Diesel        Broker        Manual        Second Owner
Maruti Swift VDI        12        320000        74000        Diesel        Direct Owner        Manual        Third Owner
Maruti 800 AC        9        243750        79000        Petrol        Direct Owner        Manual        Second Owner
Toyota Corolla Altis Diesel D4DGL        12        687500        124000        Diesel        Direct Owner        Manual        First Owner
Nissan Terrano XE D        8        737500        69000        Diesel        Broker        Manual        First Owner
Mahindra Scorpio S2 7 Seater        7        843750        165327        Diesel        Direct Owner        Manual        First Owner
Chevrolet Spark 1.0 LS        14        168750        94000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Magna        15        243750        60000        Petrol        Direct Owner        Manual        Second Owner
Hyundai i10 Sportz 1.1L        8        387500        39925        Petrol        Broker        Manual        First Owner
Renault Scala Diesel RxL        8        462500        64000        Diesel        Broker        Manual        First Owner
Mahindra Quanto C6        9        312500        4001        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna 1.6 SX        11        650000        39000        Diesel        Direct Owner        Manual        First Owner
Maruti 800 AC BSIII        16        75000        56000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Cruze LTZ        8        1250000        7600        Diesel        Broker        Manual        First Owner
Maruti 800 AC        16        100000        124000        Petrol        Direct Owner        Manual        First Owner
Toyota Fortuner 4x2 AT        6        3250000        51162        Diesel        Trustmark Broker        Automatic        First Owner
BMW X1 sDrive 20d xLine        4        3250000        13500        Diesel        Direct Owner        Automatic        First Owner
Volkswagen Polo 1.5 TDI Highline        8        625000        34000        Diesel        Direct Owner        Manual        Second Owner
Hyundai i10 Magna        11        287498.75        53824        Petrol        Broker        Manual        First Owner
Tata Nano Std BSII        14        43750        54000        Petrol        Direct Owner        Manual        Third Owner
Hyundai i20 1.2 Magna Executive        6        675000        64000        Petrol        Direct Owner        Manual        First Owner
Ford Ecosport 1.5 DV5 MT Titanium        9        687500        114000        Diesel        Direct Owner        Manual        First Owner
Maruti Zen VXI        17        150000        81000        Petrol        Direct Owner        Manual        Second Owner
